'di	d i
bagoong	b a g o q o ng
bagsak	b a g s a k
baguhin	b a g u h i n
baguio	b a g y o
bagyo	b a g y o q
baha	b a h a q
bahagi	b a h a g i
bahaging	b a h a g i ng
bahagyang	b a h a g y a ng
bahay	b a h ay
bahindi	b a h i n d i q
bahong	b a h o ng
bait	b a q i t
baka	b a k a
baka-baka	b a k a q b a k a
bakal	b a k a l
bakas	b a k a s
bakas-bakas	b a k a s q b a k a s
bakasyon	b a k a sh u n
bakit	b a k i t
bakla	b a k l a
bakod	b a k o d
bakuna	b a k u n a
balae	b a l a
balahibo	b a l a h i b o
balak	b a l a k
balakang	b a l a k a ng
balakyot	b a l a k y o t
balang	b a l a ng
balat	b a l a t
balbas	b a l b a s
baler	b a l er
balikat	b a l i k a t
balikatin	b a l i k a t i n
balisawsaw	b a l i s a w s aw
balita	b a l i t a q
balitang	b a l i t a ng
balo	b a l o
balon	b a l u n
balunbalunan	b a l u n b a l u n a n
balut	b a l o t
bamboo	b a m b u
banaag	b a n a q a g
banal	b a n a l
banaue	b a n a w e
bancasi	b a n k a s i
banco	b a ng k o q
band	b a n d
bandang	b a n d a ng
bang	b a ng
banggitin	b a ng g i t i n
bangin	b a ng i n
bangkang	b a ng k a ng
bangko	b a ng k o
bangko-bangko	b a ng k o b a ng k o
bangoy	b a ng oy
bangungot	b a ng u ng o t
bangus	b a ng u s
bank	b a ng k
bankard	b a ng k a er d
banking	b a ng k i ng
bansa	b a n s a
bansa't	b a n s a t
bansa'y	b a n s ay
bansang	b a n s a ng
bantas	b a n t a s
bantay	b a n t ay
bantog	b a n t o g
bao	b a q o
bao't	b a q o t
baon	b a q o n
bar	b a r
bara	b a r a
bara-bara	b a r a b a r a
barangay	b a r a ng g ay
barbwire	b a r b w i r e
bariles	b a r e l s
barkada	b a er k a d a
barong	b a r o ng
basa	b a s a
basa-basa	b a s a q b a s a
basahan	b a s a h a n
basahin	b a s a h i n
basahing	b a s a h i ng
basang-basa	b a s a ng b a s a
base	b a s e
basilan	b a s i l a n
basketball	b a s k e t b o l
basketbol	b a s k e t b o l
baso	b a s o
basura	b a s u r a
basurahan	b a s u r a h a n
basurero	b a s u r e r o
bata	b a t a
bata't	b a t a t
bata-bata-bata	b a t a b a t a b a t a
batac	b a t a k
batang	b a t a ng
batangas	b a t a ng g a s
batas	b a t a s
bataw	b a t aw
bataw-bataw	b a t a w b a t aw
batay	b a t ay
batchoy	b a ch oy
baterina	b a t e er i n a
bathala	b a t h a l a
bati	b a t i
batiin	b a t i q i n
bato	b a t o
batok	b a t o k
bautista	b aw t i s t a
bawa't	b a w a t
bawal	b a w a l
bawat	b a w a t
bay	b ay
bayaan	b a y a q a n
bayad	b a y a d
bayag	b a y a g
bayan	b a y a n
bayang	b a y a ng
bayani	b a y a n i
bayaning	b a y a n i ng
bayaran	b a y a r a n
bayarin	b a y a r i n
bayaw	b a y aw
bayay	b a y ay
baybay	b ay b ay
bayona	b a y o n a
bayugan	b a y u g a n
bayview	b ay v y u
baywalk	b ey w o k
baywang	b ey w a ng
bb	b
bdo	b i d i q o
bea	b i
beach	b i ch
beans	b i n s
beer	b e er
belle	b e l
ben	b e n
benchmark	b e n ch m a er k
benjamin	b e n jh a m i n
benjie	b e n jh i
bentahan	b e n t a h a n
berde	b e r d e
bernardo	b er n a er d u
bernie	b er n i
beses	b e s e s
bewang	b e w a ng
bfar	b f a r
bibig	b i b i g
bibigyan	b i b i g y a n
bibilhin	b i b i l h i n
bibili	b i b i l i q
bibingka	b i b i ng k a
bigas	b i g a s
biglaang	b i g l a q a ng
biglang	b i g l a ng
bigote	b i g o t e
bigyan	b i g y a n
bihag	b i h a g
bihira	b i h i r a
biko	b i k o
biktima	b i k t i m a
bilang	b i l a ng
bilangin	b i l a ng i n
bilao	b i l aw
bilas	b i l a s
bilhin	b i l h i n
bili	b i l i q
bilihin	b i l i h i n
bilis	b i l i s
bilisan	b i l i s a n
billion	b i ly uh n
billlion	b i l ly uh n
bilog	b i l o g
bilugan	b i l u g a n
bilyong	b i ly o ng
bimbim	b i m b i m
bimbo	b i m b o
binabaan	b i n a b a q a n
binabad	b i n a b a d
binabanggit	b i n a b a ng g i t
binabasa	b i n a b a s a
binabati	b i n a b a t i q
binabayo	b i n a b a y o q
binagoongan	b i n a g o q o ng a n
binagsakan	b i n a g s a k a n
binalot	b i n a l o t
binanggit	b i n a ng g i t
binanlian	b i n a n l i q a n
binasa	b i n a s a
binatilyo	b i n a t i ly o q
binayaran	b i n a y a r a n
binibentang	b i n i b e n t a ng
binibigyang	b i n i b i g y a ng
binibili	b i n i b i l i q
binibining	b i n i b i n i ng
binigyan	b i n i g y a n
binili	b i n i l i q
biniyayaan	b i n a y a y a q a n
binobola	b i n o b o l a
binondo	b i n o n d o
bintana	b i n t a n a
bintanang	b i n t a n a ng
binti	b i n t i
binubuhay	b i n u b u h ay
binubunot	b i n u b u n o t
binubusisi	b i n u b u s i s i
binubusog	b i n u b u s o g
binuksan	b i n u k s a n
binulag	b i n u l a g
binuo	b i n u q u
binuro	b i n u r o
binusa	b i n u s a
biodiesel	b y o d y e s e l
biofuels	b i ao f w e l s
bir	b i r
biro	b i r o
biru-birong	b i r u q b i r o ng
bisagra	b i s a g r a
bisaya	b i s a y a
biscocho	b i s k o ch o q
bisig	b i s i g
bisita	b i s i t a
bisitahin	b i s i t a h i n
bitag	b i t a g
bitak-bitak	b i t a k b i y t a k
bitamina	b i t a m i n a
bituka	b i t u k a
biyak	b i y a k
biyaya	b i y a y a
biyaya'y	b iy ay ay
biyenan	b i y e n a n
biyernes	b y e r n e s
biyuda	b y u d a
biyudo	b y u d o
black	b l a k
blended	b l e n d e d
bloc	b l a
blood	b l uh d
blue	b l u
bluewater	b l u w o t er
blvd	b o l e v a r d
boao	b o aw
board	b o a er d
bobby	b a b i
body	b u d i
bogo	b o g o q
bonds	b u n d s
bonifacio	b o n i f a sh o
book	b o o k
boracay	b o er a k ay
borongan	b u r o ng a n
boses	b o s e s
boss	b o s
boston	b o s t o n
botika	b u t i k a
boy	b uy
bpi	b i p i q ay
bpos	b p o s
bra	b r a
braso	b r a s o
bread	b r e d
breakfast	b r e q a k f a s t
brewery	b r u w er i
bridge	b er i d jh
brilyante	b er i ly a n t e
brion	b r I y o n
broadcast	b er o d k ae s t
broadcasting	b er o d k a s t i ng
bronchitis	b er o n ch ay t i s
bronzeok	b er o n s o k
brothers	b er o d er s
brown	b r aw n
bsp	b i e s p i
bubong	b u b o ng
bubukol	b u b u k o l
bubuyog	b u b u y o g
budget	b a jh e t
bueno	b w e n o
bughaw	b u g h aw
bugso	b u g s o
buhat	b u h a t
buhawi	b u h aw i q
buhay	b u h ay
buhay-buhay	b u h ay q b u h ay
buhay-pilipino	b u h ay q p i l i p i n o
buhok	b u h o k
buhos	b u h o s
buhusan	b u h u s a n
buka	b u k a
bukang-liwayway	b u k a ng l i w a y w ay
bukas	b u k a s
bukas-bukas	b u k a s q b u k a s
bukas-kamay	b u k a s q k a m ay
bukid	b u k i d
bukidnon	b u k i d n u n
bukirin	b u k i r i n
buko	b u k o
bukod	b u k o d
bukol	b u k o l
bukong-bukong	b u k u ng b u k o ng
buksan	b u k s a n
buksi	b u k s i
bulacan	b u l a k a n
bulag	b u l a g
bulaklak	b u l a k l a k
bulkang	b u l k a ng
bulletin	b u l e t i n
bulo-bulo	b u l o b o l o
bulong	b u l o ng
bumaba	b u m a b a
bumagsak	b u m a g s a k
bumahagi	b u m a h a g i
bumalik	b u m a l i k
bumasa	b u m a s a
bumati	b u m a t i
bumawi	b u m a w i
bumbay	b u m b ay
bumibilang	b u m i b i l a ng
bumilang	b u m i l a ng
bumili	b u m i l i
bumubulag	b u m u b u l a g
bumubuwag	b u m u b u w a g
bumukod	b u m u k o d
bumulusok	b u m u l u s o k
bumuo	b u m u q o
bundok	b u n d o k
bunga	b u ng a
bungang	b u ng a ng
bunganga	b u ng a ng a
bungi	b u ng i q
bunrok	b u n r o k
bunso	b u n s o
bunsod	b u n s u d
buntong-hininga	b u n t o ng h i n i ng a
buntot	b u n t o t
bunutin	b u n u t i n
bunye	b u n y e
buo	b u q o
buod	b u q o d
buong	b u q o ng
burahin	b u r a h i n
bureau	b y u er o
burnham	b u r n h a m
burukrasya	b u r u k er a sh a
bus	b u s
buses	b u s e s
busy	b u s i
but	b u t
butas	b u t a s
butas-butas	b u t a s q b u t a s
buto	b u t u
butong	b u t o ng
butuan	b u t u q a n
buwan	b u w a n
buwang	b u w a ng
buwaya	b u w a y a
buwis	b u w i s
cabadbaran	k a b a d b a r a n
cagayan	k a g a y a n
cajote	k a h o t e
caldo	k a l d o
caliraya	k a l i r a y a
call	k o l
caloocan	k a l o q o k a n
caltex	k a l t e k s
camille	k a m i l
camp	k a m p
cancer	k ae n s er
canton	k a n t o n
carcar	k a er k a r
card	k a er d
career	k a r e er
caring	k a r i ng
carl	k a er l
carlo	k a r l o
carne	k a er n
carol's	k a r o l s
carpio	k a r p y o q
carrageenan	k a r a jh i ng a n
carry	k e er i
casa	k a s a
case	k a s e
casino	k a s i n o
castillo	k a s t i ly o
castro	k a s t r o
catbalogan	k a t b o l o g a n
cathedral	k a th i d r a l
catherine	k a th e er i n
cavite	k a v i t e
cebu	s e b u
cell	s e l
cellphone	s e l f ow n
cells	s e l s
cellular	s e l y u l a r
cely	s e ly
centavos	s e n t a v o s
center	s e n t er
centro	s e n t r o
cereals	s e r i y a l s
challenge	ch a l e n jh
champorado	ch a m p o r a d o
charge	ch a r jh
checkpoint	ch e k p oy n t
chemrez	ch e m r e z
cherry	ch e r i
chief	ch i f
children	ch i l d r e n
chili	ch i l i q
china	ch ay n a
chinabank	ch ay n a b a ng k
chinatown	ch ay n a t aw n
chocolate	ch o c o l ey t
chopsuey	ch a p s uy
chowking	ch aw k i ng
christian	k r i s ch a n
christine	k r i s t i n
christmas	k r i s t m a s
christopher	k r i s t o f er
christy	k r i s t i
cigar	s i g a r
circumcised	s i r k u m k v ay
citadel	s i t a d e l
city	s i t i
clark	k l a er k
class	k l a s
classmates	k l a s m ey t s
claudia	k l aw jh a
clotrimazole	k l ow t r i m a z o l
clubs	k l uh b s
cng	k
co-amoxiclav	k o q a m o k s i k l v
cocido	k o s i d o
colonscopy	k o l o n s k o p i
comedy	k o m e jh
commercial	k o m er sh a l
commission	k o m i s sh o n
committee	k o m i t i
communications	k o m y u n i k ey sh uh n s
community	k o m e n i t i
companies	k o m p a n i s
company	k o m p a n i
complex	k o m p l e k s
comportable	k uh m p o r t a b l
composite	k uh m p o s i t
compressed	k ao m p er e s d
con	k o n
concepcion	k o n s e p sh o n
conjunctivitis	k o n jh a ng sh v ay t i s
construction	k o n s t er uh k sh uh n
consultants	k o n s u l t a n t s
consumers	k o n s u m er s
container	k o n t ey n er
coordinating	k o o er d i n a t i ng
corporation	k o er p o er ey sh o n
corregidor	k o r e g i d o r
cost	k o s t
cotabato	k o t a b a t o
country	k aw n t r i
cover	k a v er
cr	k er
cream	k r i y a m
credit	k r e d i t
crimson	k er i m s o n
criselda	k er i s e l d a
crispy	k er i s p i
cristina	k er i s t i n a
crown	k r aw n
crowne	k er aw n
cruz	k er u s
cure	k y u er
da	d a
daan	d a q a n
daanan	d a q a n a n
daang	d a q a ng
dadaan	d a d a q a n
dadalhin	d a d a l h i n
dadami	d a d a m i
dagat	d a g a t
dagdag	d a g d a g
dagdagan	d a g d a g a n
dagling	d a g l i ng
dagok	d a g o k
dahan-dahang	d a h a n q d a h a ng
dahil	d a h i l a n
dahilan	d a h i l a n
dahilang	d a h i l a ng
dahon	d a h o n
daig	d a q i g
daigdig	d a q i g d i g
daily	d a q i l i
daing	d a q i ng
dakdak	d a k d a k
dakila	d a k i l a
dakilang	d a k i l a ng
dako	d a k o q
dakong	d a k o ng
dala	d a l a
dala-dala-dala	d a l a d a l a d a l a
dala-dalang	d a l a q d a l a ng
dalaga	d a l a g a
dalagita	d a l a g i t a
dalandan	d a l a n d a n
dalang	d a l a ng
dalas	d a l a s
dalasan	d a l a s a n
dalawa	d a l a w a
dalawampu	d a l a w a m p u
dalawampu't	d a l a w a m p u t
dalawampung	d a l a w a m p u ng
dalawang	d a l a w a ng
dalawin	d a l a w i n
daldal	d a l d a l
dali-dali	d a l i d a l i q
daliri	d a l e r i
dam	d a m
dambuhalang	d a m b u h a l a ng
damdamin	d a m d a m i n
damdaming	d a m d a m i ng
dami	d a m i
damit	d a m i t
damo	d a m o q
damong-dagat	d a m o ng d a g a t
damputin	d a m p u t i n
dangal	d a ng a l
dangkal	d a ng k a l
daniel	d a ny e l
danielle	d a ny e l
dante	d a n t e
dapat	d a p a t
dapit-tanghali	d a p i t t a ng h a l i q
dapit-umaga	d a p i t q u m a g a
dapithapon	d a p i t h a p o n
dar	d a r
darating	d a r a t i ng
dark	d a er k
datapuwa't	d a t a p u w a t
dati	d a t i
dati'y	d a t i
dating	d a t i ng
datos	d a t o s
datu	d a t o
davao	d a v aw
davos	d a v o s
daw	d a w
days	d a y s
dayuhan	d a y u h a n
dayuhang	d a y u h a ng
dbp	d i b i p i
de	d e
de-kaledad	d e k a l e d a d
deadline	d e d l ay n
dealing	d e l i ng
debt	d e b t
december	d i s e m b er
dedma	d e d m a
dekada	d i k a d a
dekadang	d i k a d a ng
del	d e l
dela	d e l a
delikadong	d i l i k a d o ng
delos	d e l o s
deluxe	d i l o k s i
demanding	d e m a n d i ng
demokrasya	d e m o k er a sh a
dengue	d e n g e
denise	d e n i s
dennis	d e n i s
departamento	d e p a r t a m e n t o
department	d e p a er t m e n t
depektibong	d e p e k t i b o ng
depresyon	d e p r e sh o n
deretsahin	d i r i ch a h i n
deretso	d i r i ch u
desk	d e s k
destination	d e s t i n a sh uh n
determinasyon	d e t e er m i n a sh y u n
development	d e v e l o p m e n t
dfa	d f a
di	d i
di-masamang	d i m a s a m a ng
di-matalinong	d i m a t a l i n o ng
diabetes	jh a b e t s
diabetic	jh a b e t i k
diamond	d a y a m o n d
dianne	d a y a n
dibdib	d i b d i b
dibersiyon	d i b e r s i y o n
diesel	d i s e l
digital	d i jh i t a l
digma	d i g m a
digmaan	d i g m a q a n
diko	d i k o
dila	d i l a
dilao	d i l aw
dilaw	d i l aw
dili	d i l i
dili't	d i l i t
diligan	d i l i g a n
diliman	d i l i m a n
din	d i n
dina	d i n a
dinaan	d i n a q a n
dinadala	d i n a d a l a
dinaig	d i n a q i g
dinaing	d i n a q i ng
dinala	d i n a l a
dinaluhan	d i n a l u h a n
dinatnan	d i n a t n a n
dindo	d i n d o
ding	d i ng
dingding	d i ng d i ng
dinggin	d i ng g i n
dini	d i n i
dini-demolish	d i n i q d e m o l i sh
dinilig	d i n i l i g
dininig	d i n i n i g
diniskwento	d i n i s k w e n t o
dinuguan	d i n u g u q a n
diosdado	jh o s d a d o
dipolog	d i p o l o g
dir	d e r
direct	d ey r e k t
dirediretsuhin	d i r e d i r e t s u h i n
direksyon	d i r e k sh o n
direktang	d i r e k t a ng
direktiba	d i r e k t i b a
dis	d i s
discount	d i s k aw n t
discovery	d i s k a v er i
diskarte	d i s k a r t e
diskwento	d i s k w e n t o
distance	d i s t a n s
distrito	d i s t r i t o
disyembre	d i sh e m b r e
dito	d i t o
dito'y	d i t oy
diumano	d i q u m a n o
dive	d ay v
diwa	d i w a
diwa't	d i w a t
diwang	d i w a ng
diyamante	d i y a m a n t i
diyan	d i y a n
diyos	jh o s
dmci	d i m s i q ay
dobleng	d o b l e ng
document	d o k u m e n t
dodoblehin	d u d o b l e h i n
doe	d o
dof	d o v
dok	d o k
doktor	d o k t o r
doktora	d o k t o r a
dokumento	d o k u m e n t o
dole	d o l
dollars	d o l a er s
dolyar	d o ly a r
domestic	d o m e s t i k
domingo	d o m i ng o
dominic	d o m i n i k
don	d o n
don't	d o n t
donald	d o n a l d
donya	d o ny a
doon	d o q o n
doreen	d o r i n
dost	d i q ow e s t i
double	d o a b l
drawer	d r a w er
drayber	d r ay b e r
dream	d r i y a m
drowing	d r aw i ng
dti	d i t i q ay
dto	d t o
dudukutin	d u d u k u t i n
dugo	d u g u q
dulang	d u l a ng
dulcinea	d u l ch i n e y a
dulo	d u l o
dulot	d u l o t
dumadaan	d u m a d a q a n
dumadalaw	d u m a d a l a w
dumadami	d u m a d a m i
dumagsa	d u m a g s a
dumaguete	d u m a g e t i
dumalaw	d u m a l aw
dumalo	d u m a l o
dumaloy	d u m a l oy
dumami	d u m a m i
dumapa	d u m a p a
dumapo	d u m a p o q
dumaramdam	d u m a r a m d a m
dumating	d u m a t i ng
dumi	d u m i
dumihan	d u m i h a n
dumulog	d u m u l o g
dumumi	d u m u m i
dungis	d u ng i s
duon	d o q o n
durano	d u r a n o
dureza	d o r e z a
dusit	d u s i t
duwag	d u w a g
dwight	d w ay t
dyan	d y a n
dzxl	d z k s l
e	q i
e-vat	i v a t
earthquake	q er th k ey k
eastern	q i s t er n
eastwood	q e s t w u d
ecija	q i s i y a
economic	q i k o n o m i k
edad	e d a d
edc	e d s i
edita	e d i t a
edsa	e d s a
edwin	e d w i n
eh	q e
eight	q ey t
eighteen	q ey t i n
eighty	q ey t i
eighty-nine	q ey t i n ay n
eighty-seven	q ey t i s e v e n
ekonomiya	q e k o n o m i y a
eksam	q e k s a m
eksorsismo	q e k s o r s i s m o
ektarya	q e k t a r y a
ektaryang	q e k t a r y a ng
el	e l
elaine	e l ey n
elektrisidad	e l e k t r i s i d a d
elemento	e l e m e n t o
elijah	e l ay jh a
eliza	e l i z a
elizabeth	e l i z e b e th
elmer	e l e m er
embutido	e m b u t i d o
emil	q e m i l
emilio	q e m i ly o q
emma	q e m m a
employment	q e m p l oy m e n t
energy	e n e er jh i
enerhiya	e n e r h i y a
enero	e n e r o
engineers	q e n jh i n i er s
engkantado	q e ng k a n t a d o
engkanto	q e ng k a n t o
enrico	e n r i k o
ensaymada	e n s ay m a d a
enterprising	e n t er p r i s i ng
entertainment	e n t er t ey n m e n t
entrepreneurs	e n t r e p r e n e er s
environment	q e n v i r o n m e n t
epektibo	q e p e k t i b o
epekto	q e p e k t o
equation	q e k ey sh uh n
equitable	q i k w i t a b uh l
eric	q e r i k
ericka	e er i k a
erine	e er i n
eroplano	e er o p l a n o
erwin	e er w i n
escolar	q e s k o l a r
eskwelahan	q e s k w e l a h a n
espana	q e s p a ny a
espanya	q e s p a ny a
espanyol	q e s p a ny o l
espesyal	q e s p e sh y a l
establishments	q e s t a b l i sh m e n t s
establisimyento	q e s t a b l i sh i m e n t o
estado	e s t a d o
estados	e s t a d o s
estate	q e s t ey t
estudyante	q e s t u jh a n t i
ethanol	q e th a n o l
eto	e t o
eton	i t u n
etong	i t o ng
eu	q i y u
europa	y u r o p a
europeo	y u r o p e y o
evelyn	q e v e ly n
exchange	e k s ch ey n jh
executive	q e k s e k y u t i b
expensive	q e k s p e n s i v
expert	q e k s p er t
exploration	q e k s p l u er ey sh o n
export	q e k s p o er t
exporter	q e k s p o er t er
exporters	q e k s p o er t er s
external	q e k s t er n a l
extra	q e k s t r a
eyes	q ay s
falls	f o l s
family	f a m i ly
far	f a r
faster	f a s t e r
fatigue	f ey sh g e
favilla	f a v i ly a
faye	f a y e
fecal	f i k a l
federal	f e d e r a l
felix	f i l i k s q
fernando	f er n a n d u
festival	f i s t i v a l
fever	f i v er
field	f i l d
fifty	f i f t i
figure	f i g y u er
filinvest	f i l i n v e s t
filipino	f i l i p i n o
filipinos	f i l i p i n o s
finance	f i n a n s
financial	f ay n a n sh a l
firm	f er m
first	f er s
fish	f i sh
fisheries	f i sh e er i s
five	f ay v
five-point	f ay v p oy n t
flan	f l a n
flash	f l a sh
fleuris	f l o r i s
flores	f l o r e s
fobt	f o b t
follow-up	f o l ow q u p
food	f u d
foods	f a d s
football	f u t b o l
for	f o er
force	f o er s
foreign	f o er ay n
fort	f o er t
forty	f o er ch
forty-four	f o er ch i f aw r
forum	f o er uh m
four	f aw r
four-day	f aw r d ay
fourty	f aw r t i
francisco	f er a n s i s k o
fraport	f er a p o er t
fraser	f er ey s e er
fraud	f er a u d
fred	f er e d
fuego	f w e g o
fungal	f q u ng a l
fungi	f u ng i q
furnitures	f er ny ch er s
g	g
ga	g a
gaano	g a q a n o
gaaral	g a q a r a l
gaas	g a a s
gab-i	g a b q i
gabahid	g a b a h i d
